Course,"(Delivarable, Date, Diffuculty (in hours), Weight)",Lecture TImes,Tutorial Times
GOPH-375,"[(Term Test 1, 2020-02-13, 20h, 20%),  
 (Term Test 2, 2020-03-26, 20h, 20%), 
 (Final Exam, 2020-04-13, 30h, 40%)]","[(Tuesday, 3:30pm - 4:45pm), 
 (Thursday, 3:30pm - 4:45pm)]",N/A
CPSC 559,"[(Test 1, 2020-02-25, 25h, 15%),
 (Test 2, 2020-03-10, 25h, 15%),
 (Final Project, 2020-04-14, 100h, 40%)]","[(Tuesday, 9:30am - 10:45am), 
 (Thursday, 9:30am - 10:45am)]",N/A
CPSC 441,"[(Midterm, 2020-03-04, 20h, 20%),
(Assignment 1, 2020-02-07, 20h, 10%),
(Assignment 2, 2020-02-28, 20h, 10%),
(Assignment 3, 2020-03-20, 20h, 10%),
(Assignment 4, 2020-04-03, 20h, 10%),
(Final Exam, 2020-04-24, 40h, 40%)]","[(Monday, 12:00pm - 12:50pm),
(Wednesday, 12:00pm - 12:50pm),
(Friday, 12:00pm - 12:50pm)]","[(Monday, 4:00pm - 4:50pm),
(Wednesday, 4:00pm - 4:50pm)]"
CPSC 457,"[(Midterm, 2020-03-04, 20h, 20%),
(Assignment 1, 2020-01-31, 20h, 5%),
(Assignment 2, 2020-02-18, 20h, 6%),
(Assignment 3, 2020-03-13, 20h, 5%),
(Assignment 4, 2020-03-27, 20h, 7%),
(Assignment 4, 2020-04-17, 20h, 7%),
(Final Exam, 2020-04-20, 40h, 40%)]","[(Tuesday, 9:30am - 10:45am), 
 (Thursday, 9:30am - 10:45am)]","[(Monday, 9:00am - 9:50am),
(Wednesday, 9:00am - 9:50am)]"
CPSC 565,"[(Assignment 1, 2020-02-07, 10h, 7.5%),
(Assignment 2, 2020-03-06, 20h, 12.5%),
(Assignment 3, 2020-04-03, 20h, 15%),
(Final Exam, 2020-04-15, 20h, 15%)]","[(Tuesday, 11:00am - 12:15pm), 
 (Thursday, 11:00am - 12:15pm)]",N/A